ru_utime.sec,ru_utime.usec,ru_stime.sec,ru_stime.usec,ru_maxrss,ru_ixrss,ru_idrss,ru_isrss,ru_minflt,ru_majflt,ru_nswap,ru_inblock,ru_oublock,ru_msgsnd,ru_msgrcv,ru_nsignals,ru_nvcsw,ru_nivcsw,pid
4,742258,0,4784,4336,0,0,0,436,0,0,0,0,0,0,0,3,8,2970
4,792482,0,691,4340,0,0,0,433,0,0,0,0,0,0,0,4,9,2965
5,1702,0,1050,4340,0,0,0,434,0,0,0,0,0,0,0,4,9,2947
4,745358,0,663,4340,0,0,0,434,0,0,0,0,0,0,0,4,4,2930
4,739865,0,839,4340,0,0,0,434,0,0,0,0,0,0,0,4,7,2924
4,741910,0,813,4340,0,0,0,434,0,0,0,0,0,0,0,4,8,2920
4,734898,0,4947,4340,0,0,0,433,0,0,0,0,0,0,0,4,9,2953
5,148541,0,9856,4340,0,0,0,434,0,0,0,0,0,0,0,4,12,2964
4,747769,0,784,4340,0,0,0,435,0,0,0,0,0,0,0,4,7,2986
4,745459,0,4682,4336,0,0,0,435,0,0,0,0,0,0,0,4,6,2979
4,836982,0,748,4340,0,0,0,435,0,0,0,0,0,0,0,4,9,2977
4,760064,0,642,4340,0,0,0,433,0,0,0,0,0,0,0,4,8,2999
4,755917,0,1075,4340,0,0,0,434,0,0,0,0,0,0,0,4,14,2980
4,747893,0,780,4340,0,0,0,436,0,0,0,0,0,0,0,4,8,3001
4,782752,0,778,4340,0,0,0,435,0,0,0,0,0,0,0,4,7,3013
4,790504,0,5308,4340,0,0,0,435,0,0,0,0,0,0,0,4,13,3005
4,744232,0,730,4340,0,0,0,434,0,0,0,0,0,0,0,4,9,3017
4,804054,0,734,4340,0,0,0,436,0,0,0,0,0,0,0,4,8,3011
4,800639,0,851,4340,0,0,0,435,0,0,0,0,0,0,0,4,8,3032
4,749238,0,5037,4340,0,0,0,433,0,0,0,0,0,0,0,4,10,3024
4,758672,0,900,4340,0,0,0,434,0,0,0,0,0,0,0,4,11,3042
4,795582,0,766,4340,0,0,0,433,0,0,0,0,0,0,0,4,9,3029
4,772975,0,750,4340,0,0,0,435,0,0,0,0,0,0,0,3,7,3045
4,767768,0,739,4340,0,0,0,435,0,0,0,0,0,0,0,4,9,3058
4,777991,0,847,4336,0,0,0,434,0,0,0,0,0,0,0,4,10,3051
4,784138,0,892,4340,0,0,0,432,0,0,0,0,0,0,0,4,12,3067
4,829766,0,786,4340,0,0,0,434,0,0,0,0,0,0,0,4,9,3053
4,768025,0,812,4340,0,0,0,434,0,0,0,0,0,0,0,5,11,3073
4,777600,0,837,4340,0,0,0,436,0,0,0,0,0,0,0,4,10,3059
4,748457,0,4745,4340,0,0,0,435,0,0,0,0,0,0,0,4,8,3086
4,740526,0,738,4340,0,0,0,434,0,0,0,0,0,0,0,4,9,3082
4,746541,0,4730,4340,0,0,0,435,0,0,0,0,0,0,0,4,8,3079
4,747330,0,1059,4336,0,0,0,437,0,0,0,0,0,0,0,4,11,3132
4,784903,0,676,4340,0,0,0,434,0,0,0,0,0,0,0,4,7,3081
4,758187,0,820,4340,0,0,0,436,0,0,0,0,0,0,0,4,7,3144
4,806528,0,957,4340,0,0,0,435,0,0,0,0,0,0,0,4,8,3098
4,801527,0,784,4336,0,0,0,435,0,0,0,0,0,0,0,3,10,3109
4,886624,0,4729,4336,0,0,0,435,0,0,0,0,0,0,0,4,10,3102
4,909548,0,740,4336,0,0,0,435,0,0,0,0,0,0,0,4,7,3118
4,739450,0,741,4336,0,0,0,436,0,0,0,0,0,0,0,4,8,3119
4,788753,0,971,4340,0,0,0,434,0,0,0,0,0,0,0,4,12,3126
4,750388,0,924,4336,0,0,0,436,0,0,0,0,0,0,0,4,9,3124
4,758565,0,875,4340,0,0,0,434,0,0,0,0,0,0,0,4,10,3127
4,819599,0,911,4340,0,0,0,435,0,0,0,0,0,0,0,4,8,3130
4,788642,0,783,4340,0,0,0,435,0,0,0,0,0,0,0,4,5,3134
4,757153,0,794,4340,0,0,0,433,0,0,0,0,0,0,0,4,6,3136
4,778646,0,4838,4336,0,0,0,434,0,0,0,0,0,0,0,4,7,3138
4,744968,0,383,4340,0,0,0,436,0,0,0,0,0,0,0,4,7,3140
4,759532,0,697,4340,0,0,0,433,0,0,0,0,0,0,0,4,9,3142
4,802711,0,782,4336,0,0,0,435,0,0,0,0,0,0,0,4,6,3143
