ru_utime.sec,ru_utime.usec,ru_stime.sec,ru_stime.usec,ru_maxrss,ru_ixrss,ru_idrss,ru_isrss,ru_minflt,ru_majflt,ru_nswap,ru_inblock,ru_oublock,ru_msgsnd,ru_msgrcv,ru_nsignals,ru_nvcsw,ru_nivcsw,pid
0,2600,0,1679,63164,0,0,0,426,0,0,0,80,0,0,0,22,9,8073
0,0,0,3677,61128,0,0,0,426,0,0,0,80,0,0,0,18,6,8075
0,0,0,3312,61120,0,0,0,426,0,0,0,80,0,0,0,17,6,8077
0,0,0,3483,61120,0,0,0,427,0,0,0,80,0,0,0,18,2,8078
0,0,0,3040,63164,0,0,0,425,0,0,0,80,0,0,0,18,7,8081
0,0,0,3703,63160,0,0,0,425,0,0,0,80,0,0,0,18,3,8083
0,0,0,3513,63164,0,0,0,426,0,0,0,80,0,0,0,18,4,8085
0,0,0,3617,62228,0,0,0,425,0,0,0,80,0,0,0,19,5,8086
0,0,0,3362,60188,0,0,0,425,0,0,0,80,0,0,0,21,2,8087
0,0,0,3775,62228,0,0,0,425,0,0,0,80,0,0,0,18,1,8088
0,0,0,3132,61124,0,0,0,424,0,0,0,80,0,0,0,18,5,8089
0,1746,0,1509,61124,0,0,0,426,0,0,0,80,0,0,0,16,10,8098
0,1797,0,1813,60188,0,0,0,426,0,0,0,80,0,0,0,18,8,8095
0,0,0,3375,61136,0,0,0,426,0,0,0,80,0,0,0,18,6,8106
0,0,0,4460,63164,0,0,0,426,0,0,0,80,0,0,0,19,3,8096
0,0,0,3220,63164,0,0,0,427,0,0,0,80,0,0,0,17,4,8099
0,0,0,4061,63164,0,0,0,426,0,0,0,80,0,0,0,18,6,8101
0,0,0,4036,60188,0,0,0,426,0,0,0,80,0,0,0,17,9,8100
0,0,0,3304,62228,0,0,0,425,0,0,0,80,0,0,0,20,4,8109
0,0,0,3600,61128,0,0,0,428,0,0,0,80,0,0,0,20,3,8108
0,0,0,3028,63164,0,0,0,425,0,0,0,80,0,0,0,17,1,8113
0,0,0,3684,63172,0,0,0,426,0,0,0,80,0,0,0,19,6,8115
0,0,0,3706,60184,0,0,0,427,0,0,0,80,0,0,0,20,3,8117
0,0,0,3026,60188,0,0,0,425,0,0,0,80,0,0,0,17,2,8114
0,0,0,3112,60188,0,0,0,426,0,0,0,80,0,0,0,18,3,8125
0,1660,0,1671,60188,0,0,0,425,0,0,0,80,0,0,0,18,4,8120
0,0,0,4897,63160,0,0,0,425,0,0,0,80,0,0,0,18,5,8122
0,0,0,3204,62228,0,0,0,425,0,0,0,80,0,0,0,18,4,8123
0,0,0,3526,61124,0,0,0,426,0,0,0,80,0,0,0,18,5,8131
0,0,0,3732,63164,0,0,0,426,0,0,0,80,0,0,0,18,6,8128
0,0,0,2901,61120,0,0,0,425,0,0,0,80,0,0,0,17,7,8132
0,0,0,7844,62228,0,0,0,425,0,0,0,80,0,0,0,20,5,8134
0,0,0,4026,62228,0,0,0,425,0,0,0,80,0,0,0,18,2,8139
0,1933,0,1789,63164,0,0,0,427,0,0,0,80,0,0,0,17,7,8142
0,0,0,3648,62224,0,0,0,426,0,0,0,80,0,0,0,23,4,8136
0,0,0,3774,63164,0,0,0,426,0,0,0,80,0,0,0,17,6,8141
0,0,0,3525,61124,0,0,0,424,0,0,0,80,0,0,0,21,2,8140
0,0,0,3975,62228,0,0,0,425,0,0,0,80,0,0,0,19,12,8144
0,0,0,3576,61128,0,0,0,426,0,0,0,80,0,0,0,17,3,8148
0,0,0,3178,62228,0,0,0,426,0,0,0,80,0,0,0,18,3,8151
0,0,0,3257,62228,0,0,0,425,0,0,0,80,0,0,0,18,3,8152
0,0,0,3232,63172,0,0,0,425,0,0,0,80,0,0,0,17,3,8156
0,0,0,3797,63176,0,0,0,426,0,0,0,80,0,0,0,19,12,8155
0,0,0,3174,63160,0,0,0,426,0,0,0,80,0,0,0,18,2,8161
0,0,0,5328,63164,0,0,0,426,0,0,0,80,0,0,0,18,6,8160
0,1717,0,3181,63176,0,0,0,425,0,0,0,80,0,0,0,18,6,8159
0,0,0,5509,65208,0,0,0,425,0,0,0,80,0,0,0,16,8,8163
0,0,0,4352,61124,0,0,0,426,0,0,0,80,0,0,0,16,3,8167
0,963,0,3824,61128,0,0,0,426,0,0,0,80,0,0,0,18,4,8169
0,0,0,3892,63172,0,0,0,426,0,0,0,80,0,0,0,18,12,8171
