ru_utime.sec,ru_utime.usec,ru_stime.sec,ru_stime.usec,ru_maxrss,ru_ixrss,ru_idrss,ru_isrss,ru_minflt,ru_majflt,ru_nswap,ru_inblock,ru_oublock,ru_msgsnd,ru_msgrcv,ru_nsignals,ru_nvcsw,ru_nivcsw,pid
4,715319,0,13858,4336,0,0,0,434,0,0,0,0,0,0,0,4,1339,2390
4,747786,0,4026,4340,0,0,0,435,0,0,0,0,0,0,0,4,1342,2375
4,729601,0,4735,4340,0,0,0,434,0,0,0,0,0,0,0,4,1270,2430
4,727838,0,8653,4340,0,0,0,434,0,0,0,0,0,0,0,4,1249,2354
4,735250,0,4731,4340,0,0,0,436,0,0,0,0,0,0,0,4,1253,2464
4,736047,0,4831,4340,0,0,0,434,0,0,0,0,0,0,0,4,1235,2359
4,739200,0,831,4336,0,0,0,434,0,0,0,0,0,0,0,4,1224,2397
4,736451,0,4872,4336,0,0,0,435,0,0,0,0,0,0,0,4,1255,2491
4,742261,0,5062,4340,0,0,0,436,0,0,0,0,0,0,0,4,1212,2412
4,752257,0,4700,4340,0,0,0,435,0,0,0,0,0,0,0,4,1228,2374
4,748734,0,4829,4340,0,0,0,434,0,0,0,0,0,0,0,4,1249,2504
4,764088,0,896,4340,0,0,0,435,0,0,0,0,0,0,0,4,1253,2351
4,744043,0,8797,4340,0,0,0,433,0,0,0,0,0,0,0,4,1208,2398
4,731413,0,13903,4336,0,0,0,435,0,0,0,0,0,0,0,4,1226,2449
4,731033,0,5143,4340,0,0,0,436,0,0,0,0,0,0,0,3,1207,2502
4,730040,0,4844,4336,0,0,0,436,0,0,0,0,0,0,0,4,1209,2543
4,738138,0,4702,4336,0,0,0,434,0,0,0,0,0,0,0,4,1212,2470
4,746081,0,1004,4340,0,0,0,434,0,0,0,0,0,0,0,4,1224,2444
4,759636,0,4836,4340,0,0,0,434,0,0,0,0,0,0,0,4,1238,2372
4,754948,0,753,4340,0,0,0,434,0,0,0,0,0,0,0,4,1242,2510
4,746684,0,4843,4340,0,0,0,434,0,0,0,0,0,0,0,4,1211,2437
4,739157,0,943,4340,0,0,0,436,0,0,0,0,0,0,0,4,1210,2545
4,731457,0,12864,4340,0,0,0,434,0,0,0,0,0,0,0,3,1220,2471
4,734409,0,1037,4340,0,0,0,435,0,0,0,0,0,0,0,4,1193,2512
4,743505,0,2054,4340,0,0,0,434,0,0,0,0,0,0,0,3,1210,2538
4,740421,0,4869,4340,0,0,0,435,0,0,0,0,0,0,0,4,1210,2484
4,730669,0,1005,4336,0,0,0,434,0,0,0,0,0,0,0,4,1200,2522
4,753436,0,769,4340,0,0,0,436,0,0,0,0,0,0,0,4,1232,2517
4,744608,0,4929,4340,0,0,0,435,0,0,0,0,0,0,0,4,1210,2467
4,742180,0,0,4340,0,0,0,435,0,0,0,0,0,0,0,3,1214,2501
4,746687,0,4848,4340,0,0,0,435,0,0,0,0,0,0,0,4,1222,2533
4,743372,0,5594,4336,0,0,0,435,0,0,0,0,0,0,0,4,1212,2540
4,746425,0,8615,4336,0,0,0,433,0,0,0,0,0,0,0,4,1231,2532
4,761625,0,577,4336,0,0,0,435,0,0,0,0,0,0,0,4,1222,2516
4,753583,0,748,4340,0,0,0,434,0,0,0,0,0,0,0,4,1205,2539
4,744605,0,799,4336,0,0,0,434,0,0,0,0,0,0,0,3,1206,2552
4,741784,0,941,4340,0,0,0,434,0,0,0,0,0,0,0,4,1199,2536
4,752158,0,599,4340,0,0,0,433,0,0,0,0,0,0,0,4,1207,2514
4,760124,0,4829,4340,0,0,0,433,0,0,0,0,0,0,0,4,1216,2525
4,775149,0,8674,4340,0,0,0,433,0,0,0,0,0,0,0,4,1254,2492
4,758648,0,947,4340,0,0,0,436,0,0,0,0,0,0,0,4,1204,2541
4,753218,0,1939,4340,0,0,0,435,0,0,0,0,0,0,0,4,1201,2520
4,763902,0,4002,4336,0,0,0,436,0,0,0,0,0,0,0,4,1226,2526
4,750871,0,704,4340,0,0,0,433,0,0,0,0,0,0,0,4,1206,2551
4,748364,0,5144,4340,0,0,0,434,0,0,0,0,0,0,0,4,1207,2528
4,780309,0,833,4336,0,0,0,433,0,0,0,0,0,0,0,4,1226,2431
4,777544,0,0,4340,0,0,0,434,0,0,0,0,0,0,0,4,1234,2524
4,755740,0,684,4336,0,0,0,435,0,0,0,0,0,0,0,4,1209,2553
4,801722,0,4825,4340,0,0,0,435,0,0,0,0,0,0,0,4,1234,2421
4,849918,0,8727,4340,0,0,0,435,0,0,0,0,0,0,0,4,1328,2436
