ru_utime.sec,ru_utime.usec,ru_stime.sec,ru_stime.usec,ru_maxrss,ru_ixrss,ru_idrss,ru_isrss,ru_minflt,ru_majflt,ru_nswap,ru_inblock,ru_oublock,ru_msgsnd,ru_msgrcv,ru_nsignals,ru_nvcsw,ru_nivcsw,pid
0,12584,0,6171,46936,0,0,0,430,0,0,0,80,0,0,0,22,1,7915
0,13205,0,6461,44900,0,0,0,428,0,0,0,80,0,0,0,19,6,7917
0,6655,0,12290,46852,0,0,0,429,0,0,0,80,0,0,0,19,6,7919
0,7914,0,13524,46848,0,0,0,429,0,0,0,80,0,0,0,20,5,7921
0,12183,0,4903,46852,0,0,0,429,0,0,0,80,0,0,0,19,1,7923
0,8610,0,9523,44808,0,0,0,429,0,0,0,80,0,0,0,20,5,7925
0,12625,0,10129,46848,0,0,0,430,0,0,0,80,0,0,0,19,4,7929
0,14097,0,6431,46848,0,0,0,429,0,0,0,80,0,0,0,19,6,7927
0,11213,0,9156,46848,0,0,0,428,0,0,0,80,0,0,0,19,9,7931
0,13422,0,9358,44808,0,0,0,428,0,0,0,80,0,0,0,19,5,7928
0,20242,0,4498,46848,0,0,0,428,0,0,0,80,0,0,0,19,4,7935
0,11883,0,5189,44804,0,0,0,427,0,0,0,80,0,0,0,19,4,7937
0,12022,0,10460,44808,0,0,0,429,0,0,0,80,0,0,0,19,2,7939
0,14910,0,8477,44808,0,0,0,428,0,0,0,80,0,0,0,19,3,7940
0,19141,0,1209,44808,0,0,0,428,0,0,0,80,0,0,0,19,3,7941
0,20978,0,857,44808,0,0,0,428,0,0,0,80,0,0,0,19,3,7945
0,10846,0,9285,44808,0,0,0,428,0,0,0,80,0,0,0,20,5,7946
0,21497,0,5864,44892,0,0,0,429,0,0,0,80,0,0,0,19,7,7949
0,9173,0,10667,46848,0,0,0,428,0,0,0,80,0,0,0,19,4,7955
0,13503,0,8341,46848,0,0,0,429,0,0,0,80,0,0,0,19,2,7957
0,5740,0,12899,44808,0,0,0,429,0,0,0,80,0,0,0,19,2,7961
0,13024,0,9046,46848,0,0,0,427,0,0,0,80,0,0,0,20,4,7959
0,8255,0,12477,44808,0,0,0,429,0,0,0,80,0,0,0,19,1,7962
0,20381,0,1543,46848,0,0,0,429,0,0,0,80,0,0,0,20,4,7964
0,10014,0,8848,46844,0,0,0,428,0,0,0,80,0,0,0,20,3,7968
0,8609,0,10031,44808,0,0,0,427,0,0,0,80,0,0,0,19,5,7967
0,8481,0,13916,46848,0,0,0,428,0,0,0,80,0,0,0,21,4,7970
0,7957,0,12760,44808,0,0,0,429,0,0,0,80,0,0,0,20,3,7973
0,12958,0,5981,46848,0,0,0,427,0,0,0,80,0,0,0,20,5,7977
0,12044,0,9515,44808,0,0,0,430,0,0,0,80,0,0,0,19,3,7974
0,12700,0,13888,44808,0,0,0,429,0,0,0,80,0,0,0,20,4,7982
0,18697,0,7594,44808,0,0,0,428,0,0,0,80,0,0,0,19,5,7981
0,15515,0,9011,44808,0,0,0,427,0,0,0,80,0,0,0,18,2,7978
0,12831,0,11082,44808,0,0,0,429,0,0,0,80,0,0,0,19,5,7984
0,20251,0,1678,44808,0,0,0,430,0,0,0,80,0,0,0,19,2,7987
0,7547,0,10788,46848,0,0,0,430,0,0,0,80,0,0,0,19,5,7991
0,10280,0,8380,44812,0,0,0,428,0,0,0,80,0,0,0,19,3,7989
0,18036,0,1221,44808,0,0,0,428,0,0,0,80,0,0,0,20,3,7994
0,18776,0,6986,44812,0,0,0,430,0,0,0,80,0,0,0,20,2,7993
0,11252,0,20007,44804,0,0,0,429,0,0,0,80,0,0,0,19,1,7998
0,20410,0,1640,46848,0,0,0,429,0,0,0,80,0,0,0,22,4,7997
0,17567,0,5514,46848,0,0,0,429,0,0,0,80,0,0,0,20,1,8001
0,13813,0,8145,44808,0,0,0,428,0,0,0,80,0,0,0,22,2,8004
0,19951,0,2131,46848,0,0,0,429,0,0,0,80,0,0,0,20,4,8003
0,12823,0,7868,44808,0,0,0,428,0,0,0,80,0,0,0,20,2,8007
0,13793,0,5017,44808,0,0,0,429,0,0,0,80,0,0,0,18,2,8009
0,10572,0,8800,46844,0,0,0,429,0,0,0,80,0,0,0,23,5,8011
0,20246,0,5544,44808,0,0,0,429,0,0,0,80,0,0,0,20,3,8013
0,6686,0,11707,44808,0,0,0,429,0,0,0,80,0,0,0,18,0,8015
0,12848,0,6638,44808,0,0,0,429,0,0,0,80,0,0,0,20,9,8017
