ru_utime.sec,ru_utime.usec,ru_stime.sec,ru_stime.usec,ru_maxrss,ru_ixrss,ru_idrss,ru_isrss,ru_minflt,ru_majflt,ru_nswap,ru_inblock,ru_oublock,ru_msgsnd,ru_msgrcv,ru_nsignals,ru_nvcsw,ru_nivcsw,pid
4,773623,0,5308,4336,0,0,0,432,0,0,0,0,0,0,0,5,21,4260
4,996343,0,4847,4336,0,0,0,436,0,0,0,0,0,0,0,3,62,4305
4,776930,0,826,4340,0,0,0,436,0,0,0,0,0,0,0,4,38,4270
4,749131,0,918,4336,0,0,0,435,0,0,0,0,0,0,0,4,58,4314
4,764148,0,824,4340,0,0,0,434,0,0,0,0,0,0,0,4,59,4327
4,766293,0,830,4340,0,0,0,434,0,0,0,0,0,0,0,4,57,4323
4,749473,0,4771,4336,0,0,0,435,0,0,0,0,0,0,0,4,52,4350
4,752039,0,4823,4340,0,0,0,434,0,0,0,0,0,0,0,3,51,4383
4,749496,0,4817,4340,0,0,0,434,0,0,0,0,0,0,0,4,55,4379
4,767869,0,4866,4340,0,0,0,433,0,0,0,0,0,0,0,4,54,4386
4,779166,0,699,4340,0,0,0,434,0,0,0,0,0,0,0,4,59,4394
4,783338,0,681,4340,0,0,0,435,0,0,0,0,0,0,0,4,58,4397
4,765419,0,864,4340,0,0,0,434,0,0,0,0,0,0,0,5,55,4406
4,751378,0,5190,4340,0,0,0,435,0,0,0,0,0,0,0,5,58,4407
4,746115,0,4947,4340,0,0,0,435,0,0,0,0,0,0,0,4,58,4412
4,759638,0,786,4340,0,0,0,436,0,0,0,0,0,0,0,3,57,4433
4,763088,0,858,4340,0,0,0,434,0,0,0,0,0,0,0,4,52,4439
4,755361,0,4804,4340,0,0,0,434,0,0,0,0,0,0,0,4,56,4436
4,749565,0,4835,4340,0,0,0,434,0,0,0,0,0,0,0,4,56,4458
4,753994,0,4882,4336,0,0,0,436,0,0,0,0,0,0,0,4,59,4453
4,768597,0,989,4340,0,0,0,436,0,0,0,0,0,0,0,4,55,4475
4,757907,0,5005,4340,0,0,0,434,0,0,0,0,0,0,0,4,59,4466
4,754645,0,895,4336,0,0,0,434,0,0,0,0,0,0,0,4,65,4486
4,753491,0,857,4340,0,0,0,434,0,0,0,0,0,0,0,4,60,4484
4,754797,0,829,4340,0,0,0,434,0,0,0,0,0,0,0,4,58,4505
4,784003,0,851,4336,0,0,0,435,0,0,0,0,0,0,0,5,58,4519
4,762936,0,1019,4340,0,0,0,436,0,0,0,0,0,0,0,4,54,4550
4,841997,0,1186,4336,0,0,0,435,0,0,0,0,0,0,0,4,58,4522
4,760216,0,4923,4340,0,0,0,435,0,0,0,0,0,0,0,4,52,4563
4,739140,0,9864,4340,0,0,0,435,0,0,0,0,0,0,0,4,55,4574
4,785267,0,860,4340,0,0,0,435,0,0,0,0,0,0,0,4,52,4592
4,747869,0,853,4336,0,0,0,434,0,0,0,0,0,0,0,4,58,4589
4,773382,0,4697,4340,0,0,0,434,0,0,0,0,0,0,0,4,59,4615
4,750027,0,4706,4340,0,0,0,434,0,0,0,0,0,0,0,5,57,4631
4,759537,0,4885,4336,0,0,0,436,0,0,0,0,0,0,0,4,56,4636
4,758416,0,1008,4340,0,0,0,434,0,0,0,0,0,0,0,4,52,4650
4,754667,0,0,4340,0,0,0,435,0,0,0,0,0,0,0,4,51,4644
4,891214,0,760,4336,0,0,0,436,0,0,0,0,0,0,0,4,58,4637
4,759843,0,756,4340,0,0,0,434,0,0,0,0,0,0,0,4,56,4689
4,763826,0,4704,4340,0,0,0,436,0,0,0,0,0,0,0,4,55,4733
4,751734,0,711,4340,0,0,0,435,0,0,0,0,0,0,0,4,52,4833
4,759076,0,857,4340,0,0,0,436,0,0,0,0,0,0,0,4,49,4835
4,743689,0,8763,4340,0,0,0,434,0,0,0,0,0,0,0,6,55,4852
4,764834,0,669,4336,0,0,0,434,0,0,0,0,0,0,0,4,55,4872
4,761077,0,748,4340,0,0,0,434,0,0,0,0,0,0,0,6,55,4870
4,766985,0,688,4340,0,0,0,435,0,0,0,0,0,0,0,5,54,4901
4,751976,0,8788,4340,0,0,0,432,0,0,0,0,0,0,0,5,58,4908
4,753065,0,757,4336,0,0,0,435,0,0,0,0,0,0,0,5,58,4886
4,756514,0,1008,4336,0,0,0,434,0,0,0,0,0,0,0,5,57,4930
4,788793,0,0,4340,0,0,0,436,0,0,0,0,0,0,0,6,57,4860
4,770645,0,856,4336,0,0,0,434,0,0,0,0,0,0,0,4,57,5034
4,761656,0,845,4336,0,0,0,434,0,0,0,0,0,0,0,4,55,5020
4,951630,0,700,4340,0,0,0,433,0,0,0,0,0,0,0,5,59,4903
4,766373,0,4828,4336,0,0,0,434,0,0,0,0,0,0,0,4,53,5110
4,760452,0,800,4340,0,0,0,432,0,0,0,0,0,0,0,3,57,5118
4,748802,0,785,4340,0,0,0,435,0,0,0,0,0,0,0,4,58,5095
4,908834,0,713,4336,0,0,0,436,0,0,0,0,0,0,0,4,55,5072
