ru_utime.sec,ru_utime.usec,ru_stime.sec,ru_stime.usec,ru_maxrss,ru_ixrss,ru_idrss,ru_isrss,ru_minflt,ru_majflt,ru_nswap,ru_inblock,ru_oublock,ru_msgsnd,ru_msgrcv,ru_nsignals,ru_nvcsw,ru_nivcsw,pid
0,0,0,58292,4356,0,0,0,424,0,0,0,8000,0,0,0,1010,1,21970
0,0,0,63616,4356,0,0,0,424,0,0,0,8000,0,0,0,1012,3,21975
0,1240,0,66362,4356,0,0,0,424,0,0,0,8000,0,0,0,1010,9,21972
0,4195,0,47162,4356,0,0,0,425,0,0,0,8000,0,0,0,1011,1,21985
0,6469,0,51638,4356,0,0,0,425,0,0,0,8000,0,0,0,1011,14,21981
0,750,0,43723,4356,0,0,0,426,0,0,0,8000,0,0,0,1010,7,21995
0,0,0,47338,4356,0,0,0,424,0,0,0,8000,0,0,0,1013,5,22001
0,13813,0,99121,4356,0,0,0,424,0,0,0,8000,0,0,0,1012,4,21997
0,3894,0,40472,4356,0,0,0,423,0,0,0,8000,0,0,0,1012,8,21992
0,2671,0,49470,4352,0,0,0,424,0,0,0,8000,0,0,0,1013,5,22005
0,0,0,47445,4356,0,0,0,425,0,0,0,8000,0,0,0,1012,6,22013
0,0,0,45572,4352,0,0,0,423,0,0,0,8000,0,0,0,1013,6,22011
0,2070,0,44630,4352,0,0,0,424,0,0,0,8000,0,0,0,1010,6,22018
0,0,0,41067,4356,0,0,0,424,0,0,0,8000,0,0,0,1012,6,22027
0,2770,0,39855,4356,0,0,0,425,0,0,0,8000,0,0,0,1012,8,22037
0,0,0,42302,4352,0,0,0,425,0,0,0,8000,0,0,0,1012,8,22043
0,0,0,44717,4356,0,0,0,425,0,0,0,8000,0,0,0,1010,7,22050
0,0,0,41821,4356,0,0,0,425,0,0,0,8000,0,0,0,1014,9,22058
0,2901,0,36588,4352,0,0,0,424,0,0,0,8000,0,0,0,1012,5,22059
0,0,0,40385,4356,0,0,0,424,0,0,0,8000,0,0,0,1016,3,22070
0,1849,0,30990,4356,0,0,0,425,0,0,0,8000,0,0,0,1012,6,22051
0,0,0,44508,4352,0,0,0,426,0,0,0,8000,0,0,0,1016,4,22082
0,0,0,113128,4356,0,0,0,424,0,0,0,8000,0,0,0,1017,6,22116
0,1345,0,112008,4356,0,0,0,424,0,0,0,8000,0,0,0,1017,6,22115
0,9166,0,83515,4356,0,0,0,425,0,0,0,8000,0,0,0,1015,10,22055
0,0,0,43745,4356,0,0,0,425,0,0,0,8000,0,0,0,1016,7,22109
0,4709,0,34588,4356,0,0,0,424,0,0,0,8000,0,0,0,1015,9,22108
0,0,0,36724,4356,0,0,0,424,0,0,0,8000,0,0,0,1014,4,22120
0,6107,0,26570,4352,0,0,0,424,0,0,0,8000,0,0,0,1015,7,22128
0,11324,0,103025,4356,0,0,0,425,0,0,0,8000,0,0,0,1015,6,22190
0,0,0,41649,4356,0,0,0,424,0,0,0,8000,0,0,0,1019,6,22139
0,0,0,36278,4352,0,0,0,425,0,0,0,8000,0,0,0,1018,6,22131
0,0,0,35828,4356,0,0,0,424,0,0,0,8000,0,0,0,1016,4,22133
0,0,0,36730,4356,0,0,0,425,0,0,0,8000,0,0,0,1017,9,22145
0,0,0,38557,4356,0,0,0,425,0,0,0,8000,0,0,0,1014,4,22151
0,0,0,34197,4352,0,0,0,426,0,0,0,8000,0,0,0,1015,6,22159
0,0,0,46526,4356,0,0,0,425,0,0,0,8000,0,0,0,1016,6,22162
0,0,0,36715,4356,0,0,0,424,0,0,0,8000,0,0,0,1016,5,22148
0,3317,0,31134,4356,0,0,0,423,0,0,0,8000,0,0,0,1016,4,22156
0,0,0,38103,4352,0,0,0,424,0,0,0,8000,0,0,0,1015,2,22169
0,0,0,36759,4356,0,0,0,425,0,0,0,8000,0,0,0,1018,4,22166
0,0,0,37532,4352,0,0,0,426,0,0,0,8000,0,0,0,1014,9,22168
0,0,0,32795,4356,0,0,0,425,0,0,0,8000,0,0,0,1017,4,22180
0,0,0,106979,4356,0,0,0,425,0,0,0,8000,0,0,0,1018,6,22242
0,0,0,33249,4352,0,0,0,425,0,0,0,8000,0,0,0,1016,4,22183
0,0,0,41067,4356,0,0,0,423,0,0,0,8000,0,0,0,1015,9,22179
0,0,0,40461,4356,0,0,0,423,0,0,0,8000,0,0,0,1014,12,22176
0,0,0,39136,4356,0,0,0,424,0,0,0,8000,0,0,0,1015,8,22206
0,0,0,33580,4356,0,0,0,424,0,0,0,8000,0,0,0,1015,3,22198
0,0,0,36486,4356,0,0,0,424,0,0,0,8000,0,0,0,1015,3,22208
0,528,0,116899,4352,0,0,0,425,0,0,0,8000,0,0,0,1017,4,22328
0,0,0,33764,4352,0,0,0,426,0,0,0,8000,0,0,0,1015,5,22223
0,0,0,46503,4352,0,0,0,425,0,0,0,8000,0,0,0,1015,5,22230
0,0,0,32342,4352,0,0,0,425,0,0,0,8000,0,0,0,1018,6,22224
0,0,0,32616,4356,0,0,0,425,0,0,0,8000,0,0,0,1015,10,22237
0,8529,0,77917,4352,0,0,0,424,0,0,0,8000,0,0,0,1018,4,22256
0,0,0,93718,4352,0,0,0,426,0,0,0,8000,0,0,0,1016,3,22267
0,0,0,30206,4356,0,0,0,424,0,0,0,8000,0,0,0,1016,6,22247
0,0,0,37393,4356,0,0,0,425,0,0,0,8000,0,0,0,1014,3,22246
0,0,0,33313,4356,0,0,0,425,0,0,0,8000,0,0,0,1016,8,22248
0,0,0,35030,4356,0,0,0,424,0,0,0,8000,0,0,0,1014,6,22266
0,0,0,31121,4356,0,0,0,424,0,0,0,8000,0,0,0,1015,5,22265
0,1265,0,32382,4356,0,0,0,424,0,0,0,8000,0,0,0,1017,4,22277
0,0,0,28488,4356,0,0,0,423,0,0,0,8000,0,0,0,1016,3,22278
0,0,0,33277,4352,0,0,0,424,0,0,0,8000,0,0,0,1015,5,22293
0,0,0,27926,4356,0,0,0,426,0,0,0,8000,0,0,0,1016,4,22276
0,2691,0,34055,4356,0,0,0,425,0,0,0,8000,0,0,0,1015,5,22289
0,0,0,116804,4356,0,0,0,424,0,0,0,8000,0,0,0,1018,7,22421
0,0,0,36067,4352,0,0,0,424,0,0,0,8000,0,0,0,1017,6,22319
0,0,0,118027,4356,0,0,0,424,0,0,0,8000,0,0,0,1017,7,22425
0,0,0,30997,4356,0,0,0,424,0,0,0,8000,0,0,0,1015,7,22304
0,0,0,34910,4352,0,0,0,424,0,0,0,8000,0,0,0,1015,6,22329
0,0,0,33692,4356,0,0,0,423,0,0,0,8000,0,0,0,1017,7,22336
0,0,0,55811,4356,0,0,0,424,0,0,0,8000,0,0,0,1016,7,22351
0,0,0,31676,4356,0,0,0,424,0,0,0,8000,0,0,0,1015,9,22348
0,0,0,29716,4352,0,0,0,425,0,0,0,8000,0,0,0,1016,7,22357
0,589,0,32395,4352,0,0,0,424,0,0,0,8000,0,0,0,1016,4,22361
0,0,0,32159,4356,0,0,0,425,0,0,0,8000,0,0,0,1017,6,22369
0,0,0,31705,4352,0,0,0,423,0,0,0,8000,0,0,0,1016,8,22368
0,0,0,83106,4356,0,0,0,424,0,0,0,8000,0,0,0,1014,9,22401
0,7323,0,23108,4356,0,0,0,424,0,0,0,8000,0,0,0,1016,5,22370
0,0,0,29400,4356,0,0,0,423,0,0,0,8000,0,0,0,1015,5,22375
0,12103,0,19035,4352,0,0,0,425,0,0,0,8000,0,0,0,1014,6,22395
0,0,0,52579,4356,0,0,0,425,0,0,0,8000,0,0,0,1017,5,22380
0,0,0,36999,4356,0,0,0,425,0,0,0,8000,0,0,0,1017,12,22414
0,0,0,82523,4356,0,0,0,425,0,0,0,8000,0,0,0,1015,7,22420
0,1486,0,28158,4356,0,0,0,425,0,0,0,8000,0,0,0,1016,5,22384
0,0,0,33353,4356,0,0,0,425,0,0,0,8000,0,0,0,1015,8,22393
0,0,0,31098,4352,0,0,0,425,0,0,0,8000,0,0,0,1015,2,22390
0,0,0,30585,4352,0,0,0,426,0,0,0,8000,0,0,0,1016,5,22404
0,0,0,30290,4356,0,0,0,426,0,0,0,8000,0,0,0,1015,7,22415
0,0,0,29038,4352,0,0,0,424,0,0,0,8000,0,0,0,1016,7,22426
0,0,0,33550,4356,0,0,0,423,0,0,0,8000,0,0,0,1014,9,22430
0,0,0,73480,4352,0,0,0,424,0,0,0,8000,0,0,0,1017,4,22432
0,0,0,73849,4352,0,0,0,425,0,0,0,8000,0,0,0,1016,6,22434
